InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
314,57,2012-10-14 00:00:00,"Calle Lira, 198",Santiago,,Chile,,1918.99
315,58,2012-10-27 00:00:00,"12,Community Centre",Delhi,,India,110017,2379.02
316,1,2012-10-27 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,3384.02
317,3,2012-10-28 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,2829.96
318,7,2012-10-29 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,1535.94
319,13,2012-11-01 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3427.09
320,22,2012-11-06 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,1943.86
321,36,2012-11-14 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,1540.01
322,37,2012-11-27 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,3580.02
323,39,2012-11-27 00:00:00,"4, Rue Milton",Paris,,France,75009,1207.98
324,41,2012-11-28 00:00:00,"11, Place Bellecour",Lyon,,France,69002,771.04
325,45,2012-11-29 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,3389.06
326,51,2012-12-02 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,1930.09
327,1,2012-12-07 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,591.14
328,15,2012-12-15 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,934.01
329,16,2012-12-28 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1998.02
330,18,2012-12-28 00:00:00,627 Broadway,New York,NY,USA,10012-2612,1537.02
331,20,2012-12-29 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,2725.96
332,24,2012-12-30 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,2748.94
