InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
390,48,2013-09-12 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,385.14
391,3,2013-09-20 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,1690.99
392,4,2013-10-03 00:00:00,Ullevålsveien 14,Oslo,,Norway,0171,3541.98
393,6,2013-10-03 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,3526.02
394,8,2013-10-04 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,2120.96
395,12,2013-10-05 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,3565.06
396,18,2013-10-08 00:00:00,627 Broadway,New York,NY,USA,10012-2612,694.91
397,27,2013-10-13 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,455.14
398,41,2013-10-21 00:00:00,"11, Place Bellecour",Lyon,,France,69002,1239.01
399,42,2013-11-03 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,1120.02
400,44,2013-11-03 00:00:00,Porthaninkatu 9,Helsinki,,Finland,00530,3591.98
401,46,2013-11-04 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,803.04
402,50,2013-11-05 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,3211.94
403,56,2013-11-08 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,1524.91
404,6,2013-11-13 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,2521.14
405,20,2013-11-21 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,3056.01
406,21,2013-12-04 00:00:00,801 W 4th Street,Reno,NV,USA,89503,1648.98
407,23,2013-12-04 00:00:00,69 Salem Street,Boston,MA,USA,2113,55.98
408,25,2013-12-05 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,2413.96
409,29,2013-12-06 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,3455.06
410,35,2013-12-09 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,2219.91
411,44,2013-12-14 00:00:00,Porthaninkatu 9,Helsinki,,Finland,00530,1976.14
412,58,2013-12-22 00:00:00,"12,Community Centre",Delhi,,India,110017,1108.01
